Player,Status,Pos,labels,X1,X2,g,mp,fg_pct,avg_dist,fg2a_pct_fga,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,fg3a_pct_fga,fg2_pct,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,fg3_pct,fg2_pct_ast,pct_fg2_dunk,fg2_dunk,fg3_pct_ast,pct_fg3a_corner,fg3_pct_corner,fg3a_heave,fg3_heave,FG,FGA,3P,3PA,2P,2PA,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Lance Stephenson,Active,SG,Scoring Wing,-1.204498479,-0.044390276,358,8893,0.451,12.2,0.759,0.351,0.131,0.088,0.188,0.241,0.496,0.659,0.364,0.361,0.347,0.307,0.334,0.023,56,0.82,0.224,0.373,13,0,7.3,16.2,1.2,3.9,6.1,12.3,2.3,3.4,0.69,1.4,7.3,8.7,6.3,1.4,0.3,3.6,4.1,18.1,99,103,12,0.513,0.208,3,15.4,9.3,20.2,1.4,0.4,17,18.7,1.4,12.4,13.8,0.074,-1.3,0.9,-0.4,3.6
Lance Thomas,Active,PF,3-and-D Wing,0.107108557,0.935038875,273,5089,0.428,11.7,0.834,0.276,0.194,0.125,0.238,0.166,0.431,0.562,0.323,0.436,0.365,0.41,0.626,0.031,35,0.944,0.544,0.407,1,0,5.7,13.4,0.9,2.2,4.8,11.1,3.2,4,0.797,2.3,5,7.3,1.9,1,0.3,2,4.6,15.5,103,112,9.1,0.514,0.301,5.1,10.9,8,5.7,1,0.5,11.7,14.9,2.5,1.9,4.4,0.042,-2.5,-1.6,-4.1,-2.6
Landry Fields,Inactive,SF,3-and-D Wing,-0.065841192,1.177585398,255,6010,0.473,10.4,0.75,0.404,0.187,0.076,0.084,0.25,0.52,0.673,0.325,0.336,0.38,0.332,0.599,0.084,117,0.992,0.374,0.356,3,0,5.8,12.3,1,3.1,4.8,9.3,2.1,3.1,0.666,2.1,7.2,9.3,3.6,1.8,0.4,2.3,2.6,14.8,107,107,12.1,0.539,0.252,4.7,16.4,10.5,10.8,1.8,0.6,14.4,14,4.7,5.8,10.5,0.084,-0.8,0.7,-0.1,2.8
Langston Galloway,Active,PG,Scoring Wing,-1.671232897,0.369021167,201,4985,0.391,17.2,0.569,0.182,0.082,0.065,0.24,0.431,0.409,0.538,0.299,0.364,0.362,0.366,0.467,0.007,11,0.853,0.181,0.406,13,1,6.6,16.9,2.7,7.3,3.9,9.6,2.1,2.6,0.781,1.1,5.4,6.5,4.6,1.8,0.4,1.7,4.1,17.9,103,110,11.5,0.496,0.156,2.4,11.7,7,14.4,1.8,0.6,8.7,17.5,2.3,3.5,5.8,0.056,-0.5,-0.8,-1.2,1
Larry Nance Jr.,Active,PF,Versatile Forward,1.567278923,0.425404744,126,2708,0.526,8.8,0.93,0.437,0.169,0.106,0.221,0.07,0.548,0.692,0.473,0.329,0.418,0.239,0.748,0.182,113,1,0.348,0.188,4,0,6.3,12.1,0.2,0.8,6.1,11.2,1.7,2.3,0.717,4,8.4,12.4,2.6,2.5,1.1,1.8,5,14.6,114,109,14.6,0.557,0.192,8.6,19.1,13.6,7.9,2.5,1.8,11.9,13,3.4,2.3,5.7,0.101,-1.1,1.5,0.4,1.6
Larry Sanders,Active,C,Supporting Center,3.230109465,-1.563274618,238,4635,0.48,5.6,0.996,0.582,0.176,0.115,0.124,0.004,0.481,0.611,0.294,0.288,0.318,0,0.653,0.176,221,0,0,0,0,0,7.4,15.5,0,0.1,7.4,15.4,2,3.7,0.553,5.3,9.7,14.9,1.9,1.7,4.8,2.5,7.4,16.9,101,99,15.4,0.494,0.236,11.1,21.4,16.1,6,1.7,7.1,12.7,17,1.8,8.5,10.3,0.107,-3.2,3.8,0.6,3
Lavoy Allen,Active,PF,Scoring Center,2.83393514,-0.805598914,388,6905,0.471,9.5,0.991,0.308,0.243,0.132,0.308,0.009,0.474,0.659,0.467,0.323,0.359,0.133,0.722,0.043,69,1,0.067,0,0,0,6.1,13,0,0.1,6.1,12.8,1.4,2,0.682,5.3,8.3,13.6,2.8,0.9,1.6,1.9,5.2,13.6,107,105,12.5,0.491,0.158,11.4,18.2,14.8,8.4,0.9,2.5,12,13.9,5.7,8.1,13.8,0.096,-2.4,1.2,-1.2,1.3
Lazar Hayward,Inactive,SF,3-and-D Wing,-0.099632166,0.480696049,72,591,0.347,15.1,0.614,0.213,0.198,0.064,0.139,0.386,0.395,0.558,0.3,0.154,0.393,0.269,0.592,0.01,2,1,0.192,0.4,3,0,6,17.2,1.8,6.6,4.2,10.6,3.9,5.1,0.767,2.1,5.5,7.7,3,1.4,0.7,2.4,5.5,17.6,97,111,9,0.453,0.297,4.6,12.4,8.5,9,1.4,1,10.9,18.8,-0.1,0.3,0.2,0.02,-2.7,-1.9,-4.6,-0.4
Leandro Barbosa,Active,SG,Scoring Wing,-1.841649158,0.538085166,850,18386,0.459,13.3,0.655,0.346,0.095,0.067,0.147,0.345,0.498,0.62,0.325,0.356,0.386,0.387,0.463,0.001,6,0.865,0.322,0.421,23,0,9.3,20.3,2.7,7,6.6,13.3,3.4,4.1,0.821,0.9,3.8,4.7,4.9,1.9,0.3,2.9,4.5,24.7,108,109,15.1,0.56,0.204,2,8.4,5.3,15.1,1.9,0.5,11.6,22.2,24.7,12.8,37.4,0.098,1.2,-1.6,-0.4,7.4
LeBron James,Active,SF,Scoring Wing,-1.242143203,-0.292890601,1061,41272,0.501,12,0.794,0.354,0.12,0.102,0.218,0.206,0.543,0.73,0.428,0.363,0.386,0.342,0.356,0.081,1617,0.491,0.145,0.39,32,2,13.3,26.5,1.9,5.5,11.4,21.1,8.3,11.2,0.74,1.6,8.2,9.8,9.5,2.2,1,4.6,2.5,36.7,116,103,27.6,0.584,0.421,3.7,17.9,10.9,35,2.2,1.6,12.8,31.5,143.9,61.5,205.4,0.239,7.3,1.9,9.1,115.9
