,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,First Player,Second Player,Third Player,Fourth Player,Fifth Player
24,GSW,43,12.4,32.1,12,23,52.1,3.9,8.9,43.7,4.3,5.2,83.9,2.4,9.8,12.2,9.3,3.9,2.8,1.4,0.9,4,5,6.2,S.Curry, K.Durant, D.Green, Z.Pachulia, K.Thompson
25,OKC,52,12.1,25.3,10.2,21.6,47,1.7,5.7,30.2,3.3,4.8,68.5,2.6,9.1,11.7,5.4,3.9,2.1,1.2,1.2,4.6,4.4,0.8,S.Adams, V.Oladipo, A.Roberson, D.Sabonis, R.Westbrook
26,POR,21,12.1,27.5,10.9,21.9,49.6,3.1,7.7,40.1,2.7,3.7,74,2.2,8.8,11,6.8,3.1,2,1.9,1.1,4.4,3.9,2,A.Aminu, M.Harkless, D.Lillard, C.McCollum, M.Plumlee
27,POR,19,12.1,27,10.7,21.9,48.7,1.9,4.8,40.7,3.7,5.3,70,3.4,9.3,12.6,5.1,3.8,1.7,1.4,1.4,4.5,4.5,1.2,M.Harkless, D.Lillard, C.McCollum, J.Nurkic, N.Vonleh
28,HOU,42,12,31.2,11,22.2,49.6,4.3,10.9,39.8,4.8,6.4,75.2,3,7.9,10.8,7.4,3.4,2.3,0.8,1.3,4.3,5,4.6,R.Anderson, T.Ariza, P.Beverley, C.Capela, J.Harden
29,BOS,36,12,27.5,10.7,21.9,48.9,3.6,8.7,42,2.4,3,80.6,2.1,8.6,10.7,7.1,3.1,1.9,1.4,1.4,4.6,3.3,1.6,A.Bradley, J.Crowder, A.Horford, A.Johnson, I.Thomas
30,CHI,8,12,22.5,9.1,23,39.7,1.4,4.4,31.4,2.9,3.9,74.2,3.6,8.1,11.8,5.9,2.6,2.3,2,1.5,4,4.6,-1.5,J.Butler, M.Carter-Williams, T.Gibson, R.Lopez, D.Wade
31,DET,34,11.9,24.7,9.9,22.6,43.9,2,5.9,33.7,2.9,4.4,66.9,3.2,7.6,10.8,5.4,2.8,1.9,0.8,1,3.7,4,-2.5,K.Caldwell-Pope, A.Drummond, R.Jackson, J.Leuer, M.Morris
32,ATL,36,11.8,23.8,9,19.8,45.7,1.6,4.6,34.1,4.2,6.4,65.2,2.2,8.7,10.9,5.3,3.9,2.3,1.2,1.6,4.2,4.8,-1.1,K.Bazemore, D.Howard, P.Millsap, D.Schroder, T.Sefolosha
33,PHX,25,11.8,26.5,9.6,21.2,45.4,1.7,5.6,30.5,5.6,7,79.4,2.8,8.2,11,5.4,3.6,2.5,1.1,1.3,5.7,5.3,-1.2,E.Bledsoe, D.Booker, T.Chandler, M.Chriss, T.Warren
34,TOR,31,11.8,24.6,9.7,20.5,47.4,1.6,4.2,38.9,3.5,4.1,85.8,2.8,7.1,9.8,4.7,3.5,2,1,1.3,4.4,3.7,-2.9,D.Carroll, D.DeRozan, K.Lowry, P.Siakam, J.Valanciunas
35,ORL,9,11.7,26.9,10.3,21.4,48.2,2.1,6.6,32.2,4.1,6.1,67.3,3.7,8.1,11.8,5.6,3.4,1.6,0.8,1.1,5.2,5.3,1.4,B.Biyombo, E.Fournier, A.Gordon, E.Payton, T.Ross
36,LAC,7,11.7,26.9,10,21.9,45.8,2.6,7.4,34.6,4.3,5.4,78.9,3,9.3,12.3,6.1,2.9,2.6,0.9,1,3.9,5.3,3.3,D.Jordan, L.Mbah, C.Paul, J.Redick, A.Rivers
