,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-,First Player,Second Player,Third Player,Fourth Player,Fifth Player
102,ORL,23,7.9,15.3,5.9,14,41.9,1.2,3.6,32.5,2.4,3.1,76.4,1.7,6.4,8.1,3.4,2.5,1.1,1.4,1.1,2.4,2.7,0.3,E.Fournier, J.Green, S.Ibaka, E.Payton, N.Vucevic
103,CLE,9,7.9,20.6,7.8,15.9,49,2.8,8,34.7,2.2,2.4,90.9,2.6,6.3,8.9,4.8,2.4,1.1,0.7,0.6,2.2,2.9,5.7,C.Frye, K.Irving, L.James, K.Love, J.Smith
104,CHA,9,7.7,15.2,5.6,13.2,42,1.7,4.4,37.5,2.4,3.1,78.6,1.2,4.3,5.6,3.3,1.2,1,0.2,0.3,2.4,2.9,-1.8,M.Belinelli, F.Kaminsky, J.Lamb, B.Weber, M.Williams
105,MIA,10,7.6,15,5.7,12.7,44.9,1.3,3.3,39.4,2.3,3.4,67.6,1.3,5.6,6.9,2.9,2.5,0.9,1.3,0.5,2.4,2.6,-0.4,G.Dragic, J.Johnson, R.McGruder, J.Richardson, H.Whiteside
106,CLE,30,7.5,17.2,6.5,13.7,47.3,1.6,5,32.7,2.6,3.5,73.3,2,5.7,7.7,3.4,2.3,1.2,0.3,0.8,2.7,3,0.4,K.Irving, L.James, K.Love, I.Shumpert, T.Thompson
107,HOU,27,7.3,16.8,6,13.3,44.7,2.3,6.4,35.5,2.6,3.2,80.5,1.7,5.1,6.9,3.6,2.6,1.3,0.6,0.8,2.8,3,0.6,R.Anderson, T.Ariza, P.Beverley, J.Harden, M.Harrell
108,MIL,25,7.3,15.4,6,12.6,47.5,1.2,3.1,38.5,2.3,3.2,73.4,1.4,4.6,6,3.7,1.8,1,1.2,0.7,2.6,2.8,-0.1,G.Antetokounmpo, M.Brogdon, J.Henson, J.Parker, T.Snell
109,PHX,10,7.3,14.5,6.2,13.2,47,0.4,3,13.3,1.7,2.1,81,1.7,4.9,6.6,3.9,2.5,1.5,1.1,0.4,4.5,2.8,1.3,L.Barbosa, J.Dudley, .Jones, T.Ulis, A.Williams
110,CHA,30,7.3,15.7,5.6,12.4,45.6,2,5.3,38.1,2.4,2.8,86.9,0.7,5,5.7,3.4,1.8,1.2,0.9,0.9,2.6,2.6,-1.1,N.Batum, F.Kaminsky, M.Kidd-Gilchrist, K.Walker, M.Williams
111,PHI,14,7.3,16.5,6.1,13.2,45.9,1.8,4.6,38.5,2.6,3.4,76.6,1.5,5.4,6.9,4.1,2.7,1.4,1.6,0.4,2.7,3.4,1.1,R.Covington, J.Embiid, G.Henderson, E.Ilyasova, S.Rodriguez
112,TOR,12,7.3,16.7,6.7,13.6,49.1,1.2,3.3,35,2.2,3,72.2,1.3,5.3,6.7,3.4,1.5,1.1,0.8,0.3,3.1,2.5,0.9,D.DeRozan, S.Ibaka, C.Joseph, P.Tucker, J.Valanciunas
113,NOP,16,7.2,16.1,5.9,12.8,46.6,1,2.6,39,3.3,4.1,80,1,5.7,6.7,3.8,1.7,1.1,0.8,0.6,2.3,3.3,0.6,O.Asik, A.Davis, T.Frazier, S.Hill, E.Moore
114,NYK,10,7.1,16.2,6.7,13.7,48.9,0.8,2.2,36.4,2,2.9,69,2.3,4.8,7.1,2.6,1.4,0.9,0.4,0.4,2.7,2.7,2.4,C.Anthony, C.Lee, J.Noah, D.Rose, L.Thomas
115,GSW,12,7.1,14.3,5.8,11.2,51.5,1.6,4.2,38,1.3,1.7,75,0.9,4.5,5.4,4.1,2.2,0.8,1.3,0.6,2.8,1.8,0.3,M.Barnes, I.Clark, A.Iguodala, K.Thompson, D.West
116,BOS,27,7.1,16.5,5.8,12.3,47.1,2.1,5.5,38.3,2.8,3.5,80.9,1.7,4.4,6.1,3.9,1.7,1.1,0.6,0.3,2.7,3.2,1.7,J.Crowder, A.Horford, A.Johnson, M.Smart, I.Thomas
117,LAC,36,7,13.9,5,12.2,40.8,1.4,4.9,28.7,2.6,3.2,80.2,1.1,4.7,5.8,2.3,1.8,1.3,0.7,0.5,3.4,2.9,0.1,J.Crawford, R.Felton, W.Johnson, A.Rivers, M.Speights
118,CLE,15,7,17.2,6.4,13.1,49,2.7,6.3,42.1,1.7,2.3,74.3,1.6,4.7,6.3,4.1,1.3,0.7,0.8,0.5,2.4,1.9,1.5,C.Frye, K.Irving, L.James, I.Shumpert, T.Thompson
119,NYK,25,6.9,14.9,5.9,12.1,49,1.1,2.7,40.3,2,2.6,75.8,1.2,4.8,5.9,3.5,2.2,1,0.7,0.6,2.4,2.3,-1.3,C.Anthony, W.Hernangomez, C.Lee, K.Porzingis, D.Rose
120,MEM,13,6.9,13.5,5.1,11.6,43.7,0.8,3.5,21.7,2.5,2.8,89.2,1.2,5.1,6.2,3,1.7,0.5,0.3,0.2,3.2,3.1,-0.5,M.Conley, J.Ennis III, M.Gasol, J.Green, C.Parsons
121,PHI,12,6.9,13.9,4.8,12,40.3,1.3,3.8,33.3,3,3.5,85.7,1.4,5.9,7.3,3,2.9,1.5,0.8,0.8,2.6,3.3,2.2,R.Covington, J.Embiid, G.Henderson, S.Rodriguez, D.Saric
122,ORL,17,6.8,12.9,4.4,11.5,38.3,1.2,4.1,29,2.9,3.6,80.6,1.4,5.1,6.4,2.5,2.1,0.8,0.6,0.6,2.9,2.8,-1.3,D.Augustin, B.Biyombo, J.Green, M.Hezonja, C.Watson
123,MIN,12,6.8,13.5,5.8,12.5,46.7,0.8,2.5,30,1.1,1.4,76.5,1.5,4.7,6.2,3,1.5,1.2,0.9,0.9,3.1,2.3,-0.3,N.Bjelica, K.Dunn, T.Jones, S.Muhammad, K.Towns
124,BOS,12,6.8,13.8,5,11.8,42.6,1.4,4.3,33.3,2.4,2.9,82.9,1.5,4.6,6.1,3.5,2.8,1.4,0.3,0.8,3.1,2.9,-1.8,A.Bradley, A.Johnson, K.Olynyk, M.Smart, I.Thomas
125,MIN,12,6.8,15,5.5,12,45.8,0.8,2.5,33.3,3.2,4.1,77.6,1.9,2.8,4.7,3.5,2.2,2.2,0.4,0.7,2.8,3.3,-2.8,O.Casspi, K.Dunn, T.Jones, S.Muhammad, K.Towns
126,OKC,12,6.7,14.2,5.8,11.3,50.7,1,3.3,30.8,1.7,2.8,60.6,1.1,3.3,4.3,2.8,2.2,0.7,0.9,0.6,2.8,2.5,-2.5,A.Abrines, S.Christon, J.Grant, E.Kanter, J.Lauvergne
127,MEM,23,6.7,12.7,4.6,11.2,40.7,1.2,3.2,38.4,2.3,2.8,81.5,1.9,4.1,6,2.8,2,1.2,0.6,0.9,3,2.5,-0.7,T.Allen, M.Conley, J.Ennis III, M.Gasol, J.Green
128,ATL,36,6.7,14.3,5.3,11.5,46.3,1.1,3.4,31.1,2.6,3.5,74.6,1.4,5.1,6.6,3.4,2.1,1,0.6,0.7,2.4,3.1,0.4,K.Bazemore, T.Hardaway Jr., D.Howard, P.Millsap, D.Schroder
129,UTA,21,6.7,14.3,4.8,10.9,44.1,1.5,4,36.9,3.2,4.4,72,1.5,4.9,6.4,2.8,1.8,1,0.6,0.4,1.9,2.8,0.8,R.Gobert, G.Hayward, G.Hill, J.Ingles, J.Johnson
130,CHA,12,6.6,14.2,5.8,11.8,49.6,1.1,3.6,30.2,1.4,2.8,51.5,0.9,4.8,5.7,4.6,1.8,1.2,0.6,0.7,2.4,2.8,-0.7,M.Belinelli, S.Hawes, F.Kaminsky, M.Kidd-Gilchrist, R.Sessions
131,WAS,13,6.6,15.5,5.5,12.2,45.6,1.5,4.3,35.7,2.8,3.8,75.5,1.7,5.7,7.4,3.3,2.5,1.2,0.7,0.7,3.4,3.4,3.7,B.Bogdanovic, B.Jennings, I.Mahinmi, K.Oubre Jr., J.Smith
132,CHI,10,6.6,14.3,5.2,12.7,40.9,1.6,3.7,43.2,2.3,2.9,79.3,1.6,4.7,6.3,3,1.3,1,0.2,0.8,3.5,3,-0.2,C.Felicio, J.Grant, D.McDermott, N.Mirotic, D.Wade
133,TOR,30,6.6,15.3,5.7,11.7,48.6,2.1,4.6,46.7,1.8,2.4,75,1.7,3.9,5.6,3,1.8,1.2,0.8,0.5,2.7,2.6,1.8,C.Joseph, K.Lowry, L.Nogueira, P.Patterson, T.Ross
134,HOU,42,6.5,14.4,5.3,11.5,45.6,1.7,5.1,32.9,2.2,2.9,75.2,1.4,4.6,6,3.3,1.8,1.1,0.5,0.7,2,2.3,0.6,R.Anderson, T.Ariza, C.Capela, E.Gordon, J.Harden
135,MEM,26,6.4,14.4,5.2,10.8,47.9,1.9,3.7,50.5,2.2,2.7,80.3,1.3,4.3,5.7,3.3,1.5,1.1,0.7,0.8,2.5,2.5,1.8,T.Allen, V.Carter, M.Conley, M.Gasol, J.Green
136,TOR,23,6.4,16.6,5.7,11.3,50.8,1.6,3.5,45.7,3.5,4.3,82.7,1.8,4.4,6.2,3.3,1.5,1,0.6,0.5,2,3.3,3.9,D.Carroll, D.DeRozan, K.Lowry, P.Patterson, J.Valanciunas
137,LAL,12,6.4,15.2,4.8,11,43.9,1.8,4.8,37.9,3.7,5.3,69.8,0.8,4,4.8,2.1,1.3,1.1,0.1,0.8,3.5,3.6,-1.1,J.Clarkson, B.Ingram, J.Randle, D.Russell, N.Young
138,DAL,11,6.2,13.5,5.2,10.5,49.1,2.2,5,43.6,1,1.2,84.6,1.4,4.6,6,3.6,1.8,0.6,0.5,0.5,2.6,1.8,2,H.Barnes, A.Bogut, D.Finney-Smith, W.Matthews, D.Williams
139,LAC,21,6.2,14.7,5,10.3,48.4,1.2,3.6,33.3,3.5,4.8,74,1.3,4.6,6,2.6,1.4,0.5,0.3,0.3,2.6,3.4,2,B.Griffin, D.Jordan, C.Paul, J.Redick, A.Rivers
140,NYK,15,6.1,13.1,5.1,10.9,47.2,0.9,2.7,32.5,2,2.3,85.7,1.3,4.6,5.9,1.9,1.9,0.7,0.7,0.5,2.7,1.8,-0.7,C.Anthony, W.Hernangomez, C.Lee, D.Rose, L.Thomas
141,SAC,11,6,13,5.3,10.3,51.3,0.9,2.6,34.5,1.5,2.2,70.8,0.9,4.6,5.5,3.3,2.5,1.3,0.7,0.5,2.9,2.2,0.8,M.Barnes, W.Cauley-Stein, T.Lawson, M.Richardson, A.Tolliver
142,DEN,12,5.9,12.2,4.4,10.8,41.1,0.7,2.2,30.8,2.7,3.8,69.6,1.8,4.6,6.4,1.6,1.9,0.5,0.9,1.2,2.5,3.1,-1.4,W.Barton, W.Chandler, D.Gallinari, E.Mudiay, J.Nurkic
143,BOS,16,5.9,13,4.9,9.7,50.3,1.3,2.7,46.5,2,2.6,76.2,0.6,4.1,4.6,3.9,1.7,1.1,0.6,0.8,2.1,2.4,0.4,A.Bradley, J.Crowder, A.Horford, A.Johnson, M.Smart
144,HOU,24,5.8,13.4,5,11.1,45.3,2.1,5.5,38.3,1.2,1.8,65.9,1,4.7,5.7,3.3,1.5,1,0.6,0.5,2.5,2.2,2.5,P.Beverley, C.Brewer, S.Dekker, E.Gordon, N.Hilario
145,PHX,27,5.8,15.1,5,11.1,45.3,1.2,3.2,38.4,3.8,4.4,86.4,1.9,3.6,5.5,2.1,1.6,0.9,0.4,0.9,2.7,3.3,1,E.Bledsoe, D.Booker, T.Chandler, P.Tucker, T.Warren
146,IND,18,5.7,12.8,4.6,9.9,46.6,1.1,3.3,33.3,2.4,2.7,89.8,1,3.7,4.7,3.2,1.9,1.1,0.6,0.6,2.4,2.2,0,L.Allen, P.George, C.Miles, J.Teague, M.Turner
147,DAL,17,5.7,11.6,4.5,9.6,47,1.5,3.6,41,1.1,1.9,59.4,0.9,3.4,4.4,2.7,1.1,1.2,0.4,0.4,2.5,2.5,1.5,H.Barnes, S.Curry, W.Matthews, S.Mejri, D.Williams
148,WAS,35,5.7,14.2,5.3,10.5,50.1,1.3,3.5,38.2,2.3,2.8,82.5,1.1,4.1,5.2,3.3,1.4,1.3,0.5,0.4,2.5,2.7,2.2,B.Beal, M.Gortat, K.Oubre Jr., O.Porter., J.Wall
149,CHI,17,5.7,12.9,4.8,10.3,46.3,1.5,4,38.2,1.8,2.3,79.5,1.1,3.8,4.8,3.6,1.2,0.5,0.2,0.2,2.2,2.2,-0.1,J.Butler, R.Lopez, N.Mirotic, R.Rondo, D.Valentine
150,PHI,14,5.7,12,4.4,10,43.6,1.2,3.5,34.7,2.1,2.9,72.5,1,3.3,4.3,2.6,1.9,0.9,0.7,0.5,1.9,2.4,-1.6,R.Covington, E.Ilyasova, T.McConnell, J.Okafor, N.Stauskas
151,UTA,21,5.7,11.9,4.3,10,42.7,0.9,3,28.6,2.5,2.7,91.2,1.4,4.6,6,2.5,1.2,0.3,0.7,0.7,1.8,2.3,1.7,B.Diaw, R.Gobert, G.Hayward, G.Hill, R.Hood
152,MIN,28,5.7,13,5,10.5,47.8,1,2.2,45.9,1.9,2.5,77.1,1.8,3,4.8,2.7,1.7,1,0.5,0.9,2.2,2.1,-0.8,G.Dieng, K.Dunn, Z.LaVine, K.Towns, A.Wiggins
153,GSW,18,5.7,10.9,4.3,9.2,46.7,0.8,2.6,29.8,1.6,2.3,70.7,0.8,4.1,4.9,3.3,1.3,1.2,0.9,0.3,2,2.4,0.6,D.Green, A.Iguodala, S.Livingston, K.Thompson, D.West
154,CHA,29,5.6,12.3,4.6,10,45.4,1.1,3.3,32.3,2.1,2.9,73.5,1.4,4.1,5.5,3.1,1.4,1.2,0.4,0.8,1.9,2.2,0.6,N.Batum, F.Kaminsky, M.Kidd-Gilchrist, K.Walker, C.Zeller
155,OKC,22,5.5,11.2,4,9.6,41.2,0.6,2.8,23,2.7,3.4,78.7,1.6,3.7,5.3,2.4,1.8,0.6,0.5,0.3,1.8,2.8,-0.5,S.Adams, A.Morrow, A.Roberson, D.Sabonis, R.Westbrook
156,POR,15,5.5,12.3,4.3,9.3,46,1.1,3.3,32,2.7,3.3,80,1.1,4.3,5.5,1.9,1.2,0.6,0.7,0.3,2.1,3.2,1.9,A.Aminu, D.Lillard, C.McCollum, M.Plumlee, E.Turner
157,DET,15,5.5,11.7,4.7,9.5,49.3,0.9,2.5,34.2,1.5,2.6,59,1,4.2,5.2,2.4,1.9,0.9,0.4,0.2,2.1,2.2,1.4,K.Caldwell-Pope, A.Drummond, T.Harris, R.Jackson, J.Leuer
158,POR,13,5.4,11.9,4.5,9.3,47.9,0.8,2.5,34.4,2.2,2.8,77.8,1,2.8,3.8,2.4,1.5,0.8,0.8,0.5,1.9,2.2,-1,A.Aminu, A.Crabbe, D.Lillard, C.McCollum, M.Plumlee
159,HOU,29,5.4,12.6,4.4,10,43.9,1.5,4.9,30.5,2.4,3.1,77.5,1.5,4,5.5,2.9,1.8,1,0.4,0.5,2.5,2.4,0.2,R.Anderson, T.Ariza, P.Beverley, J.Harden, N.Hilario
160,LAL,20,5.4,10.6,4.3,9.9,43.4,0.8,3,25,1.2,2,61.5,1.5,2.9,4.4,2.3,1.7,1,0.5,0.7,2.7,1.7,-3,J.Clarkson, B.Ingram, L.Nance Jr., J.Randle, D.Russell
161,HOU,33,5.3,15,4.8,9.6,50.6,1.9,4.7,40.3,3.4,4,85.6,1.2,3.9,5.2,2.8,1.7,0.8,0.7,0.5,2.2,2.6,2.9,R.Anderson, T.Ariza, E.Gordon, J.Harden, M.Harrell
162,NOP,15,5.3,12.5,4.1,8.7,46.9,0.9,2.7,34.1,3.4,4,85,1.3,3.6,4.9,2.3,2.1,1.1,0.9,0.3,2.6,3.1,2.1,D.Cousins, A.Davis, S.Hill, J.Holiday, E.Moore
163,POR,20,5.3,14.3,5.1,9.5,53.4,1.3,3.2,40.6,2.9,3.5,81.4,1.1,3.3,4.3,2.7,1.5,0.9,0.6,0.6,3.1,2.6,1.5,A.Crabbe, M.Harkless, D.Lillard, C.McCollum, M.Plumlee
164,GSW,24,5.3,14.8,5.5,10.6,52,1.9,3.9,49.5,1.8,2.3,78.6,1,4.7,5.7,4,1.2,1.1,0.6,0.6,1.7,1.8,4,S.Curry, K.Durant, D.Green, J.McGee, K.Thompson
165,HOU,20,5.2,13.6,4.8,9.6,49.7,1.5,4.3,35.3,2.6,3.2,81,1.4,3.3,4.7,2.8,1.1,0.8,0.4,0.5,2,2.5,1.4,T.Ariza, P.Beverley, C.Capela, E.Gordon, J.Harden
166,HOU,17,5.2,12.8,4.1,9.9,41.7,1.6,4.4,36,2.9,3.6,80.6,1.8,4.5,6.3,2.1,1.5,0.7,0.6,0.6,1.7,2.5,1.9,P.Beverley, C.Capela, S.Dekker, E.Gordon, L.Williams
167,LAC,26,5.1,11.2,3.9,8.5,45.5,1.2,2.9,42.1,2.2,2.8,78.1,0.9,3.1,4,2,1.7,0.8,0.3,0.6,2.2,2.1,-0.6,B.Bass, J.Crawford, R.Felton, A.Rivers, M.Speights
168,HOU,18,5.1,11.2,4.3,9.6,45.1,1.4,4.1,35.1,1.1,1.8,59.4,1.4,2.9,4.4,2.7,1.2,0.9,0.3,0.6,2.6,2.1,0.8,P.Beverley, C.Brewer, S.Dekker, E.Gordon, M.Harrell
169,WAS,15,5.1,10.6,4.1,8.2,50.4,0.5,1.5,34.8,1.8,1.9,93.1,0.5,4.8,5.3,2.3,1.8,0.7,0.7,0.2,2.3,2.2,1.4,T.Burke, M.Morris, K.Oubre Jr., T.Satoransky, J.Smith
170,MIA,20,5.1,10.3,3.9,9,43.3,0.8,3.2,23.4,1.8,2.5,70,0.9,3.4,4.2,2.2,1.2,1,0.6,0.5,2,2.5,0.1,W.Ellington, J.Johnson, T.Johnson, W.Reed, J.Richardson
171,MIL,18,5,10.6,3.9,8.3,47,0.9,1.8,48.5,1.9,2.6,72.3,0.9,3.6,4.5,2.7,1.4,1.1,0.4,0.6,2.2,2.3,1.4,G.Antetokounmpo, M.Beasley, M.Brogdon, G.Monroe, J.Terry
172,GSW,45,5,13.6,4.6,8.9,51.8,1.3,3.9,33.9,3.1,3.4,89.7,0.7,3.8,4.5,3.2,1.4,1.1,1.1,0.4,2,2.5,2.7,S.Curry, K.Durant, D.Green, A.Iguodala, K.Thompson
173,DEN,16,4.9,12.3,4.8,9.3,51.4,1.6,3.6,43.9,1.3,1.6,76.9,1.3,2.8,4.1,3.5,1.4,1.2,0.3,0.3,1.8,1.5,0.7,W.Barton, W.Chandler, G.Harris, N.Jokic, J.Nelson
174,DET,39,4.9,8.9,3.7,9.2,40.4,0.7,2.3,29.7,0.8,1.4,55.6,1.4,3.6,5,2.1,1.1,0.5,0.5,0.4,1.6,1.5,-0.7,K.Caldwell-Pope, A.Drummond, J.Leuer, M.Morris, I.Smith
175,MIN,28,4.8,9.5,3.9,8.4,46.2,0.9,2.3,39.1,0.9,1.3,66.7,1.2,3.1,4.3,2.1,1.4,0.9,0.4,0.4,2.3,1.4,-0.3,C.Aldrich, N.Bjelica, K.Dunn, Z.LaVine, S.Muhammad
176,POR,15,4.8,11.4,3.8,8.1,46.7,1.1,2.3,45.7,2.7,3.3,82,1.1,3.7,4.9,1.9,1.5,0.4,0.9,0.6,1.9,2.4,0,A.Aminu, M.Harkless, D.Lillard, C.McCollum, J.Nurkic
177,WAS,28,4.8,11.4,4.1,8.9,46.6,1.2,2.8,42.9,1.9,2.3,82.8,1.2,2.8,4,2.4,1.3,0.5,0.4,0.4,1.9,2.1,-1.3,B.Beal, M.Gortat, O.Porter., J.Smith, J.Wall
178,GSW,35,4.8,10.7,4.3,8,53.7,0.7,1.6,42.9,1.4,1.9,76.9,0.6,3.6,4.3,3,1.4,0.8,0.6,0.2,1.9,2,1.3,K.Durant, A.Iguodala, S.Livingston, K.Thompson, D.West
179,NYK,18,4.7,10.6,4.4,9.2,47.6,0.6,1.9,32.4,1.2,1.3,87.5,1.3,2.9,4.2,2.1,1.3,0.7,0.4,0.4,1.8,1.7,-0.1,C.Anthony, C.Lee, K.O'Quinn, K.Porzingis, D.Rose
180,DAL,14,4.7,11.5,4.3,8.6,50,1.1,2.7,42.1,1.8,2.3,78.1,0.9,3.5,4.4,2.9,1,0.4,0.2,0.3,1.5,2.4,2.3,J.Barea, D.Finney-Smith, D.Harris, D.Nowitzki, D.Powell
181,BOS,18,4.6,11.1,3.9,8.4,47,1.5,4,37.5,1.7,2,86.1,0.7,3.4,4.2,2.7,1.2,1.1,0.4,0.3,1.7,1.9,1.6,A.Bradley, J.Crowder, A.Horford, K.Olynyk, I.Thomas
182,POR,15,4.6,10.3,3.5,7.7,44.8,1.5,3.4,45.1,1.9,2.3,82.4,0.7,3.5,4.1,2.2,1.5,0.7,0.5,0.1,1.3,1.7,1.5,P.Connaughton, J.Layman, M.Leonard, S.Napier, N.Vonleh
183,PHI,14,4.6,9.6,3.6,8.6,41.3,0.9,3,28.6,1.6,2.4,66.7,1,2.4,3.4,2.1,1.1,0.9,0.1,0.7,1.6,1.8,-2,R.Covington, G.Henderson, T.McConnell, J.Okafor, D.Saric
184,UTA,19,4.6,11.5,4.1,7,57.9,1.6,2.9,53.6,1.8,2.9,60.7,0.6,2.8,3.4,2.6,1.2,1,0.4,0.2,2.2,1.9,2.3,R.Gobert, G.Hayward, J.Ingles, J.Johnson, S.Mack
185,TOR,15,4.6,8,2.7,7.9,33.9,0.8,2.5,32.4,1.9,2.8,66.7,1.7,2.4,4.1,1.3,1.5,1.3,0.4,0.9,2.5,2.2,-1.3,P.Patterson, J.Poeltl, N.Powell, P.Tucker, D.Wright
186,MIL,19,4.5,10.3,3.9,8.1,48.7,0.7,1.8,37.1,1.7,2.2,78,0.8,2.9,3.7,2.2,1.3,1.1,0.2,0.5,1.7,1.8,0.8,G.Antetokounmpo, M.Brogdon, K.Middleton, G.Monroe, T.Snell
187,HOU,44,4.4,10.6,3.5,7.9,44.7,1.3,3.9,34.1,2.3,3,75.8,1,3.2,4.2,2.1,1.5,0.8,0.3,0.5,1.7,1.9,1.2,R.Anderson, T.Ariza, E.Gordon, J.Harden, N.Hilario
188,HOU,15,4.4,12.8,4.3,8.7,49.6,1.5,3.6,40.7,2.7,3.2,83.3,1.1,3.1,4.1,2.6,1.5,1.1,0.2,0.4,2.1,2.2,2.3,T.Ariza, E.Gordon, J.Harden, N.Hilario, L.Williams
189,MIL,20,4.3,10.7,4,7.1,56.7,1.2,2.3,50,1.5,1.8,83.3,1,3.2,4.2,2.5,1.4,0.9,0.5,0.3,1.7,1.7,2.9,G.Antetokounmpo, M.Brogdon, G.Monroe, M.Teletovic, J.Terry
190,ATL,18,4.3,9.6,3.9,7.6,52.2,0.6,1.7,32.3,1.1,1.8,60.6,0.9,3.2,4.1,2.4,1.7,0.9,0.9,0.3,1.6,1.9,0,K.Bazemore, D.Howard, K.Korver, M.Muscala, D.Schroder
191,UTA,17,4.3,9.8,3.5,6.5,53.6,0.8,1.9,39.4,2.1,2.4,87.8,0.6,2.8,3.4,1.8,1.2,0.4,0.6,0.2,1.3,1.6,0.6,B.Diaw, R.Gobert, G.Hayward, J.Ingles, S.Mack
192,SAS,29,4.2,10,3.7,7.6,48.6,0.8,2.1,38.7,1.8,2.4,72.9,0.9,2.6,3.5,2.4,1.2,0.7,0.4,0.3,1.6,2,0,L.Aldridge, P.Gasol, M.Ginobili, K.Leonard, P.Mills
193,POR,18,4.2,7.7,2.9,6.6,44.1,0.8,2.3,35.7,1.1,1.7,64.5,0.3,3.4,3.8,1.6,1.6,0.4,0.6,0.4,1.9,1.4,-1.2,A.Aminu, A.Crabbe, M.Leonard, C.McCollum, E.Turner
194,CHA,21,4.2,9.7,3.2,7,45.3,1,2.2,43.5,2.4,2.9,83.3,0.4,3.6,4,1.9,1,0.5,0.4,0.2,1.3,2,-0.1,N.Batum, M.Belinelli, R.Hibbert, F.Kaminsky, R.Sessions
195,ORL,20,4.2,8.7,3.3,7.4,43.9,0.7,1.8,38.9,1.5,2.4,60.4,1,2.9,3.9,1.6,1,0.7,0.6,0.6,1.4,2,0.1,B.Biyombo, E.Fournier, A.Gordon, S.Ibaka, E.Payton
196,BOS,32,4.2,11.3,3.7,8.1,45,0.9,3,29.9,3.1,3.6,87.7,1.2,2.6,3.7,2,1.2,0.8,0.3,0.7,2.1,2.5,1.3,A.Bradley, J.Crowder, A.Horford, M.Smart, I.Thomas
197,CHI,22,4.2,8,3.2,7.7,41.4,0.3,1.4,22.6,1.4,1.7,78.9,1.4,3.2,4.6,2,1.5,0.6,0.5,0.5,1.4,1.1,-1.1,J.Butler, T.Gibson, R.Lopez, D.McDermott, R.Rondo
198,MIL,17,4.2,8.6,3.6,8,44.9,0.8,2.7,30.4,0.6,0.9,73.3,1.2,3.2,4.4,2.3,1.2,0.9,0.2,0.3,1.4,1.1,1.1,M.Dellavedova, K.Middleton, G.Monroe, M.Teletovic, J.Terry
199,MIA,25,4.2,8.9,3.3,7.2,45.9,0.8,2.4,33.9,1.4,2.1,67.9,0.7,3.2,3.9,1.8,1.4,0.6,0.8,0.4,1.8,1.7,0.2,G.Dragic, W.Ellington, J.Johnson, T.Johnson, W.Reed
200,MIA,22,4.2,10.5,3.7,7.7,47.9,1,2,48.9,2.2,2.9,76.2,1.1,3.2,4.3,1.9,1.1,0.8,0.6,0.7,1.7,2,2.2,G.Dragic, J.Johnson, T.Johnson, J.Richardson, H.Whiteside
201,HOU,33,4.1,9.5,3.3,7.7,43.1,1.1,3.8,29.8,1.8,2.7,65.2,1.1,2.8,3.9,2.2,1.4,0.8,0.3,0.3,1.3,1.8,0.2,T.Ariza, S.Dekker, E.Gordon, J.Harden, N.Hilario
202,HOU,21,4.1,8.3,3,7,43.8,1,2.9,36.1,1.2,1.9,62.5,1,2.5,3.4,1.9,1.1,0.5,0.7,0.8,2.2,1.7,-0.9,P.Beverley, C.Brewer, C.Capela, S.Dekker, E.Gordon
203,LAC,40,4.1,10.8,3.4,6.6,51.1,0.9,2.4,39.4,3.1,4.2,74.7,0.9,2.7,3.6,2,1.3,0.6,0.1,0.1,1.9,3,1.7,J.Crawford, B.Griffin, D.Jordan, C.Paul, J.Redick
204,BOS,25,4.1,9.9,3.1,7.2,42.5,1.4,3.6,37.8,2.4,2.6,92.2,0.6,2.4,3.1,2,1.2,0.5,0.3,0.3,1.8,2,-0.5,J.Crowder, A.Horford, K.Olynyk, M.Smart, I.Thomas
205,TOR,22,4.1,9.5,3.2,7.6,41.7,0.6,1.6,36.1,2.5,3.1,82.4,1.2,2.8,4,1.2,0.8,0.8,0.5,0.4,1.4,1.9,-0.1,D.DeRozan, C.Joseph, L.Nogueira, P.Patterson, T.Ross
206,SAS,23,4,8.8,3,6.6,44.7,0.6,1.6,37.8,2.3,2.7,86.9,1,3,4,1.6,1.3,0.7,0.4,0.2,1.5,2,0.6,L.Aldridge, D.Green, D.Lee, K.Leonard, T.Parker
207,LAL,17,4,10.5,3.5,6.4,55.6,0.9,1.6,55.6,2.6,3,86.3,0.6,2.9,3.5,1.6,1,0.6,0.3,0.4,1.8,2.5,1.1,J.Clarkson, L.Deng, B.Ingram, L.Nance Jr., L.Williams
208,CHA,27,3.9,9.1,3.1,7.5,40.9,1,3.2,32.6,2,2.5,77.9,1,2.5,3.5,1.8,0.9,0.6,0.3,0.5,1.7,2,1.2,N.Batum, M.Belinelli, K.Walker, M.Williams, C.Zeller
209,PHI,18,3.9,8.4,3.4,7.5,45.9,0.8,2.4,31.8,0.7,1.1,68.4,0.7,2.8,3.5,2.4,1.2,0.8,0.7,0.2,1.5,1.3,-0.2,R.Covington, E.Ilyasova, T.McConnell, N.Noel, N.Stauskas
210,UTA,23,3.9,7.1,2.7,5.5,49.6,0.7,1.7,43.6,0.9,1.3,70,0.1,3,3.1,2,1.8,0.8,0.7,0.1,1.4,1.5,-1,B.Diaw, D.Exum, R.Gobert, G.Hayward, J.Ingles
