Player,School,Pos,labels,X1,X2,Status,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,ORtg,DRtg,PER,TS%,eFG%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM
Sheriff Drammeh,Hawaii,Guard,Swingman,1.534855585,-0.245253066,Active,61,1307,4.5,12.5,0.356,2.5,6.5,0.385,1.9,6,0.324,3.3,4.5,0.718,4.9,4.2,1.4,0.1,3,5.6,14.1,95.7,102.2,7.4,0.481,0.433,0.479,0.363,327,1.5,8.8,5.1,14.7,1.4,0.2,17.2,15.7,0.4,1.9,2.3,0.07,-2.6,0,-2.6
Sherman Blanford,Eastern Illinois,Forward,Versatile Forward,-1.61864044,0.906566005,Inactive,62,1639,10.6,22.1,0.482,10.6,21.9,0.485,0,0.2,0,8.3,12.2,0.682,17.1,4.6,2.7,1.5,4.4,6,29.6,110.3,104.6,24.9,0.531,0.482,0.007,0.553,795,13.5,22.5,17.8,18.5,2.7,2.9,13.6,27.9,4.3,1.8,6.1,0.149,1.3,0,1.3
Sherrard Brantley,Georgia,Guard,Game Manager,2.123306002,-0.380975269,Inactive,93,1255,4.1,13.1,0.313,0.8,2.5,0.3,3.3,10.6,0.316,1,1.4,0.679,4.7,3.3,0.9,0.2,2.7,2.3,12.5,90.5,106.4,6.2,0.454,0.44,0.807,0.108,234,0.7,8.3,4.4,11.1,0.9,0.4,16.5,14.1,0.1,0.9,1.1,0.034,-1,-0.8,-1.9
Sherrod Baldwin,Idaho State,Guard,Swingman,1.116893099,-0.001140307,Inactive,101,1143,6,15,0.376,4.5,11.1,0.379,1.5,3.9,0.367,1.9,2.7,0.667,4.6,3.4,2,0.2,3.5,6.1,15.5,91.7,115.6,8.5,0.445,0.422,0.252,0.191,275,2.5,7.6,4.9,11.8,2,0.3,18.5,17.1,-0.3,0,-0.4,0.005,-3.3,-3.7,-7
Sherrod Wright,George Mason,Guard,Shooting Wing,0.565887961,0.536304484,Inactive,132,3530,9,19.2,0.467,7.2,13.8,0.517,1.8,5.4,0.339,7.3,9.6,0.756,7.5,2.3,1.8,0.5,4.5,3.9,27,108.1,104,17.7,0.569,0.515,0.279,0.5,1447,4.5,10.8,7.6,8.6,1.8,0.9,15.8,24.1,7.2,3.8,11,0.125,2.3,-0.5,1.9
Sherron Dorsey-Walker,Iowa State,Guard,Swingman,1.321276589,0.602079818,Active,92,2119,5.5,14.5,0.376,2.7,6.9,0.396,2.7,7.6,0.358,4.5,6.2,0.731,9.2,4.8,1.8,0.3,3.4,3.5,18.2,105.5,102.4,13.2,0.52,0.469,0.523,0.428,751,4.4,13.3,9.1,15.2,1.8,0.6,16.4,18.3,2.6,3,5.6,0.105,0.8,0.8,1.6
Sherron Wilson,Southern Utah,Forward,Swingman,0.577596379,0.187008977,Active,46,436,3.4,13.6,0.253,2.1,8.1,0.254,1.4,5.5,0.25,2.1,3.4,0.6,7.4,3.1,1.8,0.3,3.4,7.9,10.3,75.6,108,3.2,0.338,0.303,0.404,0.253,89,5.7,9,7.3,10.1,1.8,0.5,18.4,16.2,-0.5,0.4,-0.2,-0.014,-7,-2.5,-9.5
Sherwood Brown,Florida Gulf Coast,Guard,Shooting Wing,-0.185290296,1.460218593,Inactive,119,2910,8.9,19.5,0.456,5.8,11.3,0.509,3.1,8.2,0.382,3.8,5.4,0.699,11.7,2,2.4,0.5,3.1,5,24.7,113.6,99.9,20.2,0.559,0.536,0.419,0.277,993,7.1,16.6,11.8,7.1,2.4,1,12.2,21.5,6.2,3.4,9.5,0.131,2.5,-1.1,1.3
Shevon Thompson,George Mason,Center,Offensive Big,-4.491381465,1.246154706,Inactive,62,1635,10,17.7,0.565,10,17.7,0.566,0,0,0,5.7,9.6,0.591,25.1,0.9,0.8,2.4,5.8,5.3,25.7,105.3,101,23.6,0.576,0.565,0.002,0.54,689,17.3,29.2,23.2,3.4,0.8,4.4,20.7,23.6,2.8,2.4,5.2,0.127,-0.2,0.2,0
Shikei Blake,Montana State,Center,Offensive Big,-2.678500031,0.410780101,Inactive,24,219,5,11.7,0.422,5,11.7,0.422,0,0,0,4.7,6.3,0.75,12.5,0.3,1.3,0.5,3.4,13.8,14.6,100.3,111.2,8.3,0.496,0.422,0,0.533,60,10.5,14,12.1,0.8,1.3,1,18.7,15.3,0.1,0.1,0.3,0.05,-5,-3.3,-8.3
Shirmane Thomas,Tennessee Tech,Guard,Swingman,1.014886636,-0.869210268,Inactive,89,1674,3.7,11.2,0.33,3.1,8.6,0.359,0.6,2.6,0.237,3.3,5.9,0.553,7.8,6.3,1.9,1,5.2,6.5,11.3,81.4,106.3,6.3,0.403,0.358,0.235,0.525,404,3,12.2,7.7,19.1,1.9,2,27.2,16.4,-1.4,1.7,0.4,0.008,-5.3,-0.1,-5.5
Shivaughn Wiggins,Mount St. Mary's,Guard,Game Manager,2.199681003,0.159659715,Active,113,3344,6.3,14.5,0.436,4.7,10.1,0.469,1.6,4.4,0.359,6.9,9.6,0.717,5.3,5.9,2.4,0.1,2.8,3.4,21.1,117.3,103.6,17.3,0.554,0.49,0.303,0.665,1234,2.4,7.7,5.1,19.2,2.4,0.3,12.9,18.6,8.2,3.9,12.1,0.145,1.5,-0.7,0.8
Shola Diop,Winthrop,Center,Scoring Wing,-2.140862132,-0.179072886,Inactive,48,335,6.3,9.9,0.635,6.3,9.7,0.647,0,0.2,0,2.9,5.5,0.517,11.5,0.6,1,0.8,4.6,7.5,15.5,98.1,103.1,11,0.616,0.635,0.019,0.558,78,8.7,15,11.6,2,1,1.5,26.7,14.8,0.2,0.3,0.6,0.069,-4.4,-2.2,-6.7
Shomari Triggs,Coppin State,Guard,Game Manager,1.980649831,-0.0925887,Inactive,26,323,5.6,18.2,0.306,3.4,8.8,0.385,2.2,9.4,0.232,2.9,4.5,0.63,4.9,3,2.5,0.3,4.2,5.2,16.2,77.7,114.5,5.9,0.397,0.366,0.519,0.25,95,2.5,7.4,4.8,10.9,2.5,0.6,17.1,21.5,-0.4,0,-0.4,-0.045,-5.8,-4.4,-10.2
Shon Briggs,Cal State Bakersfield,Guard,Shooting Wing,-0.708261841,0.722010656,Active,35,740,7.4,15,0.495,7.3,14.5,0.505,0.1,0.5,0.167,5.2,9.1,0.568,13.2,3,1.8,0.6,4,5.4,20.1,100.9,90.5,14.7,0.52,0.497,0.031,0.608,257,7.5,17.6,12.7,10.6,1.8,1.4,17.2,20,0.7,1.9,2.5,0.137,-2.5,2.5,0
Shonn Miller,Cornell,Forward,Scoring Wing,-1.735827088,0.003670785,Inactive,121,3341,9.8,20.3,0.482,8.6,16,0.536,1.2,4.3,0.278,6.5,8.2,0.789,14.4,1.7,2.9,3.3,2.9,6.3,27.2,110.4,91,23.5,0.563,0.511,0.211,0.405,1354,4.9,23.9,14.2,6.9,2.9,6.5,10.7,23.9,7.4,7.7,15.1,0.181,0.8,3.9,4.7
